Song Name,Singer Name,Youtube urls,Emotions
Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn,https://www.youtube.com/watch?v=PxG9XFqHSFw,"Joy, Anticipation, Pop, House, Folk, Fear, Devotion, Shame, Love, Inspiration"
"Bad, Bad Leroy Brown",Jim Croce,https://www.youtube.com/watch?v=ALUgmzI0v3I,"Pop, Folk rock, Rock, Folk, Fear, Inspiration"
Killing Me Softly with His Song,Roberta Flack,https://www.youtube.com/watch?v=DEbi_YjpA-Y,"Zen, Success, Pop, Classical, Surprise, House, Country, Reggae, Faith, Blues, Elation, Love, Melody, Inspiration, Urban, Connection, Dancehall"
Let's Get It On,Marvin Gaye,https://www.youtube.com/watch?v=x6QZn9xiuOE,"Success, Pop, Rock, Healing, Fun, Hope, Faith, Melody, Classical, Heartbreak, Soul, Funk, Lust, Soulful, Gospel, Intensity, Passion, Contemporary r&b, Elation, Believe, Love, Inspiration, Joy, Guilt, Desire, Yearning"
My Love,Paul McCartney & Wings,https://www.youtube.com/watch?v=FszrwclD_-Q,Love
Why Me,Kris Kristofferson,https://www.youtube.com/watch?v=DgDs_JE4Qcg,No specific emotions found.
Crocodile Rock,Elton John,https://www.youtube.com/watch?v=-8PiA0FAYBI,"Joy, Nostalgic, Success, Pop, Rock, Disco, Fun"
Will It Go Round in Circles,Billy Preston,https://www.youtube.com/watch?v=I_e-RQZVwxg,"Soul, Love"
You're So Vain,Carly Simon,https://www.youtube.com/watch?v=mQZmCJUSC6g,"Melody, Wonder, Pop, Identity, Confidence, Love, Inspiration, Heartbreak"
Touch Me in the Morning,Diana Ross,https://www.youtube.com/watch?v=6rQ-p0WnGd8,Morning
The Night the Lights Went Out in Georgia,Vicki Lawrence,https://www.youtube.com/watch?v=K-qK7oVXVRQ,"Trust, Soul, Success, Pop, Surprise, House, Panic, Fear, Guilt, Believe, Country"
Playground in My Mind,Clint Holmes,https://www.youtube.com/watch?v=Q2xgm03xx2U,"Rock, Disco, Love"
Brother Louie,Stories,https://www.youtube.com/watch?v=jidMaFbmaok,No specific emotions found.
Delta Dawn,Helen Reddy,https://www.youtube.com/watch?v=plXod6zVyIo,"Believe, Pop, Rock, House, Guilt, Blues, Connection, Love, Melody, Inspiration, Country"
Me and Mrs. Jones,Billy Paul,https://www.youtube.com/watch?v=uXLEd1R1uKk,"Soul, Disco, Love, Strength"
Frankenstein,The Edgar Winter Group,https://www.youtube.com/watch?v=P8f-Qb-bwlU,"Success, Pop, Journey, Rock, Disco, Happiness, Desire, Fun, Innocence, Hope, Hesitation, Obsession, Mourning, Escape, Ambition, Identity, Zen, Courage, House, Fear, Elation, Connection, Believe, Love, Inspiration, Country, Joy, Revenge, Grief, Comfort, Morning, Reflection, Guilt, Adventure, Anger, Longing"
Drift Away,Dobie Gray,https://www.youtube.com/watch?v=NIuyDWzctgY,"Soul, Success, Pop, Anger, Rock, Surprise, Folk, Reggae, Gospel, Shame, Country"
Little Willy,Sweet,https://www.youtube.com/watch?v=NM6I-pmV0RA,No specific emotions found.
